transaction_id,date,customer_id,category,payment_method,amount,status,city
TXN1001,2026-01-03,CUST001,Groceries,UPI,1245.5,SUCCESS,Bengaluru
TXN1002,2026-01-03,CUST014,Electronics,Credit Card,45999.0,SUCCESS,Mumbai
TXN1003,2026-01-04,CUST008,Dining,Debit Card,899.0,FAILED,Hyderabad
TXN1004,2026-01-05,CUST003,Fuel,Cash,3100.0,SUCCESS,Chennai
TXN1005,2026-01-06,CUST021,Travel,UPI,7800.0,SUCCESS,Delhi
TXN1006,2026-01-06,CUST017,Groceries,UPI,420.75,SUCCESS,Pune
TXN1007,2026-01-07,CUST011,Entertainment,Credit Card,1500.0,PENDING,Kolkata
TXN1008,2026-01-07,CUST006,Healthcare,Net Banking,12999.99,SUCCESS,Jaipur
TXN1009,2026-01-08,CUST004,Dining,UPI,670.0,SUCCESS,Bengaluru
TXN1010,2026-01-08,CUST002,Shopping,Debit Card,2499.0,FAILED,Ahmedabad
TXN1011,2026-01-09,CUST019,Travel,Credit Card,22350.0,SUCCESS,Mumbai
TXN1012,2026-01-10,CUST007,Fuel,UPI,1950.0,SUCCESS,Lucknow
TXN1013,2026-01-10,CUST012,Electronics,Credit Card,87999.0,SUCCESS,Delhi
TXN1014,2026-01-11,CUST016,Groceries,Cash,1890.25,PENDING,Kochi
TXN1015,2026-01-12,CUST005,Healthcare,Debit Card,5200.0,SUCCESS,Chennai
TXN1016,2026-01-13,CUST013,Shopping,UPI,999.99,SUCCESS,Bengaluru
TXN1017,2026-01-14,CUST020,Dining,Cash,450.0,SUCCESS,Pune
TXN1018,2026-01-15,CUST009,Entertainment,UPI,2200.0,FAILED,Hyderabad
TXN1019,2026-01-16,CUST010,Travel,Net Banking,15400.0,SUCCESS,Goa
TXN1020,2026-01-17,CUST015,Fuel,Credit Card,2750.0,SUCCESS,Bengaluru
TXN1021,2026-01-18,CUST022,Groceries,UPI,640.0,SUCCESS,Mysuru
TXN1022,2026-01-19,CUST023,Shopping,Credit Card,11250.0,PENDING,Surat
TXN1023,2026-01-20,CUST024,Healthcare,UPI,3400.0,SUCCESS,Nagpur
TXN1024,2026-01-21,CUST025,Dining,Debit Card,1250.0,SUCCESS,Indore
TXN1025,2026-01-22,CUST026,Electronics,Net Banking,65999.0,FAILED,Noida
TXN1026,2026-01-23,CUST027,Travel,UPI,4800.0,SUCCESS,Bhopal
TXN1027,2026-01-24,CUST028,Entertainment,Cash,750.0,SUCCESS,Patna
TXN1028,2026-01-25,CUST029,Shopping,UPI,3999.0,SUCCESS,Visakhapatnam
TXN1029,2026-01-26,CUST030,Groceries,Debit Card,2100.0,FAILED,Coimbatore
TXN1030,2026-01-27,CUST031,Healthcare,Credit Card,8450.5,SUCCESS,Bhubaneswar
